time,control_type,position_x,position_y,position_z,desired_position_x,desired_position_y,desired_position_z,position_error_norm,orientation_error_deg,control_effort,oscillation_index
5.176,open_loop,0.324913,-0.0203333,0.499709,0.497529,-0.0999695,0.300003,0.275719,6.85604,27.6756,0.178981
5.177,open_loop,0.324997,-0.0205753,0.498835,0.497487,-0.0999684,0.300003,0.274937,6.90915,27.5992,0.0996494
5.178,open_loop,0.325077,-0.0208276,0.497954,0.497445,-0.0999674,0.300003,0.274151,6.96241,27.5226,0.194886
5.179,open_loop,0.325158,-0.0210746,0.497078,0.497402,-0.0999663,0.300003,0.273369,7.01495,27.4464,0.0865091
5.18,open_loop,0.325235,-0.0213271,0.496195,0.497359,-0.0999651,0.300003,0.272585,7.06705,27.3699,0.174177
5.181,open_loop,0.325316,-0.0215721,0.495318,0.497316,-0.099964,0.300003,0.271804,7.11892,27.2937,0.112866
5.182,open_loop,0.325393,-0.0218264,0.494433,0.497272,-0.0999628,0.300003,0.271018,7.17096,27.2172,0.185113
5.183,open_loop,0.325473,-0.0220758,0.493552,0.497228,-0.0999616,0.300003,0.270236,7.2225,27.1409,0.0860056
5.184,open_loop,0.325546,-0.0223297,0.492664,0.497183,-0.0999603,0.300003,0.269451,7.27384,27.0645,0.179573
5.185,open_loop,0.325623,-0.0225836,0.491779,0.497138,-0.099959,0.300003,0.268668,7.32508,26.9882,0.0951014
5.186,open_loop,0.3257,-0.0228352,0.490896,0.497092,-0.0999577,0.300003,0.267887,7.37597,26.9121,0.103914
5.187,open_loop,0.325775,-0.0230908,0.490006,0.497046,-0.0999563,0.300003,0.267101,7.42634,26.8356,0.177418
5.188,open_loop,0.325855,-0.0233387,0.489119,0.496999,-0.099955,0.300003,0.266318,7.47672,26.7594,0.129428
5.189,open_loop,0.325931,-0.0235962,0.488224,0.496952,-0.0999535,0.300003,0.26553,7.52749,26.6827,0.191994
5.19,open_loop,0.326001,-0.0238494,0.487332,0.496904,-0.0999521,0.300003,0.264749,7.58121,26.6068,0.123664
5.191,open_loop,0.326066,-0.0241071,0.486434,0.496856,-0.0999506,0.300003,0.263966,7.63451,26.5308,0.186466
5.192,open_loop,0.326133,-0.0243655,0.48554,0.496807,-0.099949,0.300003,0.263186,7.68746,26.455,0.103397
5.193,open_loop,0.3262,-0.0246214,0.484648,0.496758,-0.0999474,0.300003,0.262408,7.73971,26.3795,0.100422
5.194,open_loop,0.326265,-0.0248808,0.483751,0.496709,-0.0999458,0.300003,0.261628,7.79112,26.3038,0.178309
5.195,open_loop,0.326328,-0.0251329,0.482857,0.496659,-0.0999442,0.300003,0.260855,7.84584,26.2288,0.159646
5.196,open_loop,0.326388,-0.0253935,0.481956,0.496608,-0.0999425,0.300003,0.260076,7.90046,26.1534,0.192337
5.197,open_loop,0.326451,-0.0256499,0.481058,0.496557,-0.0999407,0.300003,0.2593,7.95439,26.0782,0.0996116
5.198,open_loop,0.326508,-0.0259106,0.480154,0.496505,-0.0999389,0.300003,0.258522,8.00782,26.0029,0.18817
5.199,open_loop,0.326568,-0.0261718,0.479254,0.496453,-0.0999371,0.300003,0.257747,8.06079,25.9278,0.0995643
5.2,open_loop,0.326629,-0.0264305,0.478357,0.496401,-0.0999352,0.300003,0.256974,8.11298,25.853,0.101555
5.201,open_loop,0.326679,-0.026693,0.477454,0.496348,-0.0999333,0.300003,0.256204,8.16805,25.7786,0.145754
5.202,open_loop,0.326734,-0.0269472,0.476555,0.496294,-0.0999313,0.300003,0.255437,8.22241,25.7044,0.138197
5.203,open_loop,0.326787,-0.0272106,0.47565,0.49624,-0.0999293,0.300003,0.254665,8.27652,25.6298,0.197833
5.204,open_loop,0.326844,-0.0274695,0.474749,0.496186,-0.0999272,0.300003,0.253896,8.32976,25.5555,0.0975442
5.205,open_loop,0.326885,-0.0277328,0.47384,0.496131,-0.0999251,0.300003,0.253131,8.3864,25.4818,0.161849
5.206,open_loop,0.326931,-0.0279958,0.472937,0.496075,-0.0999229,0.300003,0.252368,8.44217,25.4082,0.100705
5.207,open_loop,0.326978,-0.0282563,0.472036,0.496019,-0.0999207,0.300003,0.251607,8.49684,25.3349,0.106057
5.208,open_loop,0.327024,-0.0285204,0.47113,0.495963,-0.0999185,0.300003,0.250844,8.5502,25.2613,0.184803
5.209,open_loop,0.327067,-0.028777,0.470228,0.495906,-0.0999161,0.300003,0.250088,8.60708,25.1887,0.164441
5.21,open_loop,0.327107,-0.0290416,0.46932,0.495848,-0.0999138,0.300003,0.249329,8.66334,25.1156,0.195307
5.211,open_loop,0.327151,-0.029302,0.468416,0.49579,-0.0999113,0.300003,0.248572,8.71842,25.0428,0.104541
5.212,open_loop,0.32719,-0.0295662,0.467507,0.495731,-0.0999088,0.300003,0.247814,8.77253,24.9699,0.19048
5.213,open_loop,0.327223,-0.0298311,0.466602,0.495672,-0.0999063,0.300003,0.247065,8.83016,24.898,0.14498
5.214,open_loop,0.327258,-0.0300925,0.4657,0.495612,-0.0999037,0.300003,0.246318,8.88628,24.8263,0.115422
5.215,open_loop,0.327293,-0.0303574,0.464794,0.495552,-0.099901,0.300003,0.245568,8.94078,24.7544,0.189143
5.216,open_loop,0.327324,-0.030615,0.463892,0.495492,-0.0998983,0.300003,0.244827,8.9989,24.6834,0.163855
5.217,open_loop,0.327354,-0.0308803,0.462984,0.49543,-0.0998955,0.300003,0.244082,9.0561,24.612,0.198176
5.218,open_loop,0.327388,-0.0311413,0.46208,0.495369,-0.0998927,0.300003,0.243338,9.11188,24.5408,0.109661
