time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,force_magnitude,depth,target_force
1.997000,1,0.312115,0.002373,0.521074,0.000000,0.000000,1.000000,1.000000,-0.016074,10.000000
2.007000,1,0.312120,0.002384,0.521075,0.000000,0.000000,1.000000,1.000000,-0.016075,10.000000
2.017000,1,0.312116,0.002387,0.521074,0.000000,0.000000,1.000000,1.000000,-0.016074,10.000000
2.027000,1,0.312117,0.002392,0.521074,0.000000,0.000000,1.000000,1.000000,-0.016074,10.000000
2.037000,1,0.312116,0.002397,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
2.047000,1,0.312115,0.002406,0.521076,0.000000,0.000000,1.000000,1.000000,-0.016076,10.000000
2.057000,1,0.312115,0.002409,0.521070,0.000000,0.000000,1.000000,1.000000,-0.016070,10.000000
2.067000,1,0.312112,0.002410,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
2.077000,1,0.312117,0.002421,0.521074,0.000000,0.000000,1.000000,1.000000,-0.016074,10.000000
2.087000,1,0.312113,0.002423,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
2.097000,1,0.312114,0.002428,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
2.107000,1,0.312113,0.002432,0.521070,0.000000,0.000000,1.000000,1.000000,-0.016070,10.000000
2.117000,1,0.312113,0.002441,0.521075,0.000000,0.000000,1.000000,1.000000,-0.016075,10.000000
2.127000,1,0.312112,0.002444,0.521070,0.000000,0.000000,1.000000,1.000000,-0.016070,10.000000
2.137000,1,0.312110,0.002445,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
2.147000,1,0.312114,0.002455,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
2.157000,1,0.312111,0.002457,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
2.167000,1,0.312112,0.002461,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
2.177000,1,0.312110,0.002465,0.521069,0.000000,0.000000,1.000000,1.000000,-0.016069,10.000000
2.187000,1,0.312110,0.002473,0.521074,0.000000,0.000000,1.000000,1.000000,-0.016074,10.000000
2.197000,1,0.312110,0.002476,0.521069,0.000000,0.000000,1.000000,1.000000,-0.016069,10.000000
2.207000,1,0.312107,0.002476,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
